time,ene-0,ene-1,d00-re,d00-im,d01-re,d01-im,d10-re,d10-im,d11-re,d11-im
634,-0.8991,1.3011,0.0,0.0,-0.009484179790733046,7.034512745819394e-09,0.009484179790733046,7.034512745819394e-09,0.0,0.0
635,-0.8968,1.3231,0.0,0.0,-0.007400960085954082,-1.8486751758818095e-12,0.007400960085954082,-1.8486751758818095e-12,0.0,0.0
636,-0.8924,1.3445,0.0,0.0,0.005275200888953846,2.256446594174308e-10,-0.005275200888953846,2.256446594174308e-10,0.0,0.0
637,-0.8896,1.361,0.0,0.0,-0.003024041345955611,-3.3129148834896485e-09,0.003024041345955611,-3.3129148834896485e-09,0.0,0.0
638,-0.8844,1.3775,0.0,0.0,-0.002217522958791842,2.5034491172219767e-09,0.002217522958791842,2.5034491172219767e-09,0.0,0.0
639,-0.8784,1.3945,0.0,0.0,0.001163758965767711,-2.0235124889112458e-09,-0.001163758965767711,-2.0235124889112458e-09,0.0,0.0
640,-0.8906,1.3932,0.0,0.0,-0.0011464393153633352,-5.152140215028017e-07,0.0011464393153633352,-5.152140215028017e-07,0.0,0.0
641,-0.8873,1.4045,0.0,0.0,0.00036237570302208153,1.2420620168064418e-08,-0.00036237570302208153,1.2420620168064418e-08,0.0,0.0
642,-0.8802,1.4087,0.0,0.0,-0.007576587418124771,-1.4124326831526443e-07,0.007576587418124771,-1.4124326831526443e-07,0.0,0.0
643,-0.876,1.4059,0.0,0.0,-0.011084576258800547,2.7884029444013396e-08,0.011084576258800547,2.7884029444013396e-08,0.0,0.0
644,-0.8848,1.3885,0.0,0.0,-0.004995351800841036,4.256683903770199e-08,0.004995351800841036,4.256683903770199e-08,0.0,0.0
645,-0.8351,1.4278,0.0,0.0,-0.0027855467213521966,-3.645634483363184e-09,0.0027855467213521966,-3.645634483363184e-09,0.0,0.0
646,-0.8558,1.3938,0.0,0.0,0.005904481520312835,4.3909871577830785e-08,-0.005904481520312835,4.3909871577830785e-08,0.0,0.0
647,-0.9348,1.2973,0.0,0.0,-0.005348429586277611,-2.1787208648157227e-06,0.005348429586277611,-2.1787208648157227e-06,0.0,0.0
648,-0.9357,1.2743,0.0,0.0,0.015862976649313083,3.3302345338940244e-08,-0.015862976649313083,3.3302345338940244e-08,0.0,0.0
649,-1.0123,1.1722,0.0,0.0,0.0033505927194570624,-1.2447663130976513e-07,-0.0033505927194570624,-1.2447663130976513e-07,0.0,0.0
650,-1.0981,1.0558,0.0,0.0,0.002977673299434422,1.4342493655918405e-07,-0.002977673299434422,1.4342493655918405e-07,0.0,0.0
651,-1.0453,1.0659,0.0,0.0,-0.00318256172518303,-6.579947886083494e-08,0.00318256172518303,-6.579947886083494e-08,0.0,0.0
652,-1.1079,0.9426,0.0,0.0,-0.014369232765314634,-1.4732033863258929e-08,0.014369232765314634,-1.4732033863258929e-08,0.0,0.0
653,-1.0793,0.9068,0.0,0.0,0.010332234953515729,-6.497603583283742e-08,-0.010332234953515729,-6.497603583283742e-08,0.0,0.0
